Time	Outdoor Humidity(%)	Outdoor Temperature(°C)	Absolute Pressure(Hpa)	Wind(km/h)	Direction	Hour Rainfall(mm)
22-11-2011 20:59	97	2.7	996.4	41.8	NE	12.6
22-11-2011 21:04	97	2.6	996.7	40.3	NE	14.7
22-11-2011 21:09	97	2.6	996.7	34.2	NE	15.3
22-11-2011 21:14	97	2.7	996.5	28.1	NE	12.3
22-11-2011 21:19	98	2.6	996.3	34.2	NE	11.7
22-11-2011 21:24	98	2.6	996.1	28.1	NE	8.7
22-11-2011 21:29	98	2.5	996.0	37.8	NE	6.9
22-11-2011 21:34	98	2.6	996.0	37.8	NE	6.3
22-11-2011 21:39	98	2.6	995.9	36.7	E	5.7
22-11-2011 21:44	98	2.4	995.7	33.1	NE	4.8
22-11-2011 21:49	98	2.4	995.6	34.2	E	4.5
22-11-2011 21:54	98	2.3	995.5	31.7	E	4.8
22-11-2011 21:59	98	2.3	995.5	29.5	E	4.5
22-11-2011 22:04	98	2.3	995.3	31.7	NE	2.4
22-11-2011 22:09	98	2.2	995.2	39.2	NE	1.8
22-11-2011 22:14	98	2.3	994.9	24.5	N	1.5
22-11-2011 22:19	98	2.3	995.0	27.0	N	1.2
22-11-2011 22:24	98	2.2	994.8	35.6	NE	1.2
22-11-2011 22:29	97	2.1	995.0	25.6	NE	0.9
22-11-2011 22:34	97	1.9	994.6	28.1	NE	0.9
22-11-2011 22:39	98	1.8	994.7	27.0	NE	0.9
22-11-2011 22:44	98	1.8	994.4	30.6	NE	0.6
22-11-2011 22:49	99	1.7	994.4	30.6	NE	0.9
22-11-2011 22:54	99	1.6	994.1	29.5	NE	0.6
22-11-2011 22:59	99	1.6	994.0	22.0	NE	0.6
22-11-2011 23:04	99	1.5	993.9	34.2	NE	0.6
22-11-2011 23:09	99	1.6	993.8	24.5	NE	0.6
22-11-2011 23:14	99	1.6	993.8	27.0	E	0.6
22-11-2011 23:19	99	1.6	993.8	20.9	E	0.6
22-11-2011 23:24	99	1.6	993.5	30.6	NNW	0.9
22-11-2011 23:29	99	1.7	993.0	39.2	NE	0.9
22-11-2011 23:34	99	1.8	993.1	27.0	NE	0.9
22-11-2011 23:39	99	1.9	993.4	13.3	N	0.9
22-11-2011 23:44	99	1.9	993.5	8.6	SEE	0.9
22-11-2011 23:49	99	1.9	993.5	8.6	NE	0.6
22-11-2011 23:54	99	1.9	993.2	13.3	NE	0.6
22-11-2011 23:59	99	1.8	993.1	27.0	NE	0.6
23-11-2011 00:04	99	1.8	993.0	29.5	N	0.9
23-11-2011 00:09	99	1.8	992.9	17.3	NE	0.9
23-11-2011 00:14	99	1.8	992.6	19.4	NE	0.9
23-11-2011 00:19	99	1.8	992.4	15.8	NE	0.9
23-11-2011 00:24	99	1.8	992.1	18.4	NE	0.6
23-11-2011 00:29	99	1.8	991.9	24.5	NE	0.9
23-11-2011 00:34	99	1.9	991.8	23.4	NE	0.9
