Time	Outdoor Humidity(%)	Outdoor Temperature(°C)	Absolute Pressure(Hpa)	Wind(km/h)	Direction
01-11-2011 20:24	70	9.8	1007.6	3.6	SE
01-11-2011 20:29	72	9.7	1007.6	2.5	NE
01-11-2011 20:34	73	9.5	1007.6	3.6	SW
01-11-2011 20:39	73	9.4	1007.7	1.1	SW
01-11-2011 20:44	74	9.3	1007.6	1.1	SW
01-11-2011 20:49	75	9.2	1007.6	1.1	SSW
01-11-2011 20:54	75	9.1	1007.5	1.1	SW
01-11-2011 20:59	75	9.0	1007.7	2.5	SW
01-11-2011 21:04	76	9.0	1007.5	3.6	NWW
01-11-2011 21:09	75	9.1	1007.5	3.6	SW
01-11-2011 21:14	75	9.0	1007.4	0.0	NE
01-11-2011 21:19	76	8.8	1007.5	2.5	NE
01-11-2011 21:24	77	8.7	1007.4	1.1	W
01-11-2011 21:29	77	8.6	1007.5	0.0	N
01-11-2011 21:34	79	8.5	1007.4	2.5	SW
01-11-2011 21:39	78	8.7	1007.4	8.6	SE
01-11-2011 21:44	77	8.9	1007.4	7.2	NW
01-11-2011 21:49	77	9.1	1007.3	1.1	NW
01-11-2011 21:54	77	9.0	1007.4	3.6	SWW
01-11-2011 21:59	78	9.1	1007.4	3.6	S
01-11-2011 22:04	78	9.0	1007.4	2.5	N
01-11-2011 22:09	79	8.9	1007.4	2.5	SE
01-11-2011 22:14	79	9.0	1007.5	0.0	W
01-11-2011 22:19	80	8.8	1007.5	0.0	S
01-11-2011 22:24	81	8.7	1007.4	2.5	N
01-11-2011 22:29	80	8.7	1007.4	1.1	NE
01-11-2011 22:34	81	8.3	1007.5	2.5	N
01-11-2011 22:39	83	8.3	1007.5	1.1	W
01-11-2011 22:44	83	8.3	1007.5	1.1	N
01-11-2011 22:49	84	8.2	1007.3	1.1	N
01-11-2011 22:54	85	8.3	1007.5	2.5	NE
01-11-2011 22:59	84	8.4	1007.4	0.0	SW
01-11-2011 23:04	85	8.4	1007.2	1.1	E
01-11-2011 23:09	85	8.6	1007.1	1.1	SW
01-11-2011 23:14	85	8.9	1007.0	6.1	NW
01-11-2011 23:19	84	9.2	1007.1	3.6	SW
01-11-2011 23:24	82	9.5	1007.0	1.1	SE
01-11-2011 23:29	81	9.6	1007.0	1.1	N
01-11-2011 23:34	81	9.6	1007.0	6.1	SE
01-11-2011 23:39	81	9.8	1007.0	6.1	S
01-11-2011 23:44	80	10.0	1006.9	3.6	SW
01-11-2011 23:49	80	10.0	1006.9	3.6	NW
01-11-2011 23:54	79	10.1	1007.0	6.1	NW
01-11-2011 23:59	79	10.1	1006.9	2.5	N
02-11-2011 00:04	80	10.0	1006.8	2.5	NE
