Time	Outdoor Humidity(%)	Outdoor Temperature(°C)	Absolute Pressure(Hpa)	Wind(km/h)	Direction
01-11-2011 16:11	51	15.8	1007.3	3.6	S
01-11-2011 16:16	50	16.0	1007.3	5.0	N
01-11-2011 16:21	51	15.7	1007.2	7.2	E
01-11-2011 16:27	55	14.8	1007.2	6.1	N
01-11-2011 16:32	56	14.9	1007.1	7.2	SW
01-11-2011 16:37	55	15.4	1007.3	3.6	NNW
01-11-2011 16:43	56	15.3	1007.3	8.6	S
01-11-2011 16:48	58	15.1	1007.2	9.7	S
01-11-2011 16:53	58	15.0	1007.1	6.1	W
01-11-2011 16:59	57	15.2	1007.2	6.1	S
01-11-2011 17:04	60	14.9	1007.2	3.6	W
01-11-2011 17:09	60	14.9	1007.1	5.0	NW
01-11-2011 17:14	62	14.6	1007.1	8.6	S
01-11-2011 17:19	63	14.4	1007.0	11.2	W
01-11-2011 17:24	64	14.3	1007.0	7.2	E
01-11-2011 17:29	64	14.4	1006.9	5.0	S
01-11-2011 17:34	64	14.4	1007.0	6.1	SE
01-11-2011 17:39	64	14.2	1007.0	8.6	SW
01-11-2011 17:44	65	13.8	1007.0	11.2	SW
01-11-2011 17:49	65	13.6	1007.1	6.1	S
01-11-2011 17:54	66	13.4	1007.3	5.0	NW
01-11-2011 17:59	66	13.3	1007.3	6.1	S
01-11-2011 18:04	67	12.9	1007.3	6.1	S
01-11-2011 18:09	68	12.6	1007.1	7.2	S
01-11-2011 18:14	69	12.5	1007.2	6.1	SW
01-11-2011 18:19	69	12.2	1007.4	8.6	W
01-11-2011 18:24	69	12.1	1007.4	5.0	S
01-11-2011 18:29	68	11.9	1007.3	8.6	SW
01-11-2011 18:34	68	11.8	1007.4	2.5	S
01-11-2011 18:39	68	11.7	1007.4	6.1	W
01-11-2011 18:44	68	11.6	1007.4	6.1	W
01-11-2011 18:49	69	11.5	1007.4	3.6	SW
01-11-2011 18:54	69	11.3	1007.4	5.0	S
01-11-2011 18:59	69	11.2	1007.6	6.1	NW
01-11-2011 19:04	69	11.1	1007.6	7.2	SW
01-11-2011 19:09	69	11.0	1007.6	6.1	SW
01-11-2011 19:14	69	10.9	1007.5	7.2	NE
01-11-2011 19:19	70	10.8	1007.6	7.2	SW
01-11-2011 19:24	70	10.7	1007.6	5.0	S
01-11-2011 19:29	70	10.6	1007.6	8.6	S
01-11-2011 19:34	70	10.5	1007.6	5.0	S
01-11-2011 19:39	70	10.4	1007.7	8.6	S
01-11-2011 19:44	70	10.3	1007.6	7.2	SW
01-11-2011 19:49	70	10.3	1007.7	8.6	NW
